NameofPlayer,Club,Position,Nationality,FootPreference,JerseyNumber,YellowCardsReceived,RedCardsReceived,ContractStatus,InjuryStatus,League,CaptaincyStatus,TransferStatus,PerformanceRating,CompetitionType,Age,Height,Weight,NumberofGoals,NumberofAssists,NumberofAppearances,MinutesPlayed,PassCompletionPercentage,ShotsonTarget,NumberofFoulsCommitted,DribblesCompleted,CrossesCompleted,TacklesMade,Interceptions,Clearances
Romelu Lukaku,Tottenham Hotspur,Defender,German,Right,38,3,2,Expiring,Injured,On Loan,Yes,On Transfer List,Average,EPL,30,160,80,25,16,93,12245,79.98,33,63,60,12,73,52,85
Diogo Jota,Arsenal,Defender,German,Both,89,12,4,Expiring,Fit,On Loan,Yes,Not On Transfer List,Average,UEFA Champions League,24,172,87,45,8,11,23687,95.99,26,89,51,88,16,47,63
Lucas Moura,Liverpool,Midfielder,Spanish,Right,73,2,0,Expiring,Injured,On Loan,No,Not On Transfer List,Good,UEFA Champions League,25,168,65,21,13,55,20558,69.27,67,72,62,18,111,12,7
Harry Kane,Arsenal,Forward,English,Right,63,6,0,Expiring,Suspended,EPL,No,Not On Transfer List,Average,EPL,21,177,80,30,7,284,11274,65.25,96,55,23,25,45,22,20
Cesar Azpilicueta,Liverpool,Defender,Brazilian,Right,86,2,4,On Loan,Suspended,EPL,No,On Transfer List,Poor,FA Cup,18,185,95,0,13,114,19659,92.38,75,26,30,45,23,96,89
Raheem Sterling,Tottenham Hotspur,Midfielder,German,Both,49,13,4,Expiring,Fit,EPL,No,On Transfer List,Poor,EPL,32,195,93,0,15,172,17766,85.51,3,30,39,75,62,57,53
Trent Alexander-Arnold,Manchester City,Forward,Portuguese,Both,91,2,2,Expiring,Fit,On Loan,Yes,On Transfer List,Poor,FA Cup,26,193,75,8,11,192,1529,86.05,58,84,10,64,57,49,115
N'Golo Kante,Leicester City,Defender,Argentinian,Right,5,3,0,Expiring,Fit,EPL,Yes,On Transfer List,Good,UEFA Champions League,22,184,81,14,17,40,13005,96.99,97,95,63,88,118,24,55
Phil Foden,Tottenham Hotspur,Forward,Spanish,Both,94,6,4,Active,Suspended,EPL,No,On Transfer List,Good,EPL,32,172,90,46,4,108,6272,77.76,45,1,9,51,9,1,93
Youri Tielemans,Chelsea,Forward,Argentinian,Left,50,8,0,Active,Suspended,On Loan,Yes,On Transfer List,Poor,UEFA Champions League,26,179,88,11,10,107,16473,53.98,32,6,44,2,34,44,116
Youri Tielemans,Manchester City,Forward,German,Right,58,3,3,On Loan,Suspended,EPL,Yes,Not On Transfer List,Excellent,UEFA Champions League,22,199,72,23,1,25,17184,55.63,37,83,57,27,122,54,127
Riyad Mahrez,Chelsea,Goalkeeper,German,Both,47,3,1,Expiring,Suspended,On Loan,No,On Transfer List,Poor,FA Cup,18,163,92,16,5,95,1699,73.26,21,76,88,44,57,61,17
Riyad Mahrez,Tottenham Hotspur,Defender,Argentinian,Both,46,11,3,On Loan,Injured,EPL,No,Not On Transfer List,Poor,EPL,26,169,65,49,10,81,9333,95.14,75,47,28,11,121,60,128
Phil Foden,Leicester City,Forward,Portuguese,Right,17,3,0,Expiring,Injured,EPL,Yes,On Transfer List,Good,EPL,32,199,78,40,8,81,261,58.78,80,49,24,55,105,22,101
Ederson,Arsenal,Defender,Portuguese,Left,45,2,2,Active,Suspended,On Loan,No,Not On Transfer List,Excellent,FA Cup,24,191,63,19,0,58,15935,63.07,41,49,81,46,141,84,7
Phil Foden,Chelsea,Forward,Portuguese,Left,40,9,0,On Loan,Suspended,On Loan,No,Not On Transfer List,Average,UEFA Champions League,34,173,76,16,12,52,327,51.47,31,93,33,31,67,72,132
Raheem Sterling,Arsenal,Goalkeeper,Argentinian,Right,95,2,4,Active,Injured,On Loan,No,Not On Transfer List,Poor,FA Cup,25,179,62,11,15,280,1328,57.71,75,1,1,40,28,56,114
Jamie Vardy,Manchester United,Forward,French,Both,69,3,0,Active,Suspended,On Loan,Yes,On Transfer List,Excellent,UEFA Champions League,21,170,71,3,3,253,21630,91.9,72,2,97,47,93,43,10
Sadio Mane,Liverpool,Midfielder,Argentinian,Right,54,7,0,Expiring,Injured,EPL,No,Not On Transfer List,Good,UEFA Champions League,31,190,65,23,8,190,13661,95.11,34,67,10,98,108,55,148
Ben White,Manchester City,Midfielder,Argentinian,Left,20,6,1,Active,Fit,EPL,Yes,Not On Transfer List,Excellent,EPL,23,171,86,8,2,204,23436,80.1,15,31,24,73,109,70,58
Jamie Vardy,Leicester City,Goalkeeper,Argentinian,Both,66,9,4,Active,Fit,EPL,No,Not On Transfer List,Poor,UEFA Champions League,31,179,77,1,18,92,14951,97.29,67,67,57,64,70,18,141
Luke Shaw,Manchester United,Goalkeeper,Brazilian,Both,96,1,3,On Loan,Injured,On Loan,Yes,Not On Transfer List,Poor,EPL,19,172,77,23,7,13,6826,80.39,29,3,65,24,129,19,19
Sadio Mane,Manchester United,Midfielder,English,Left,40,1,3,Expiring,Fit,On Loan,Yes,On Transfer List,Excellent,FA Cup,26,186,75,38,17,215,10064,53.94,16,57,4,15,103,24,99
Kieran Tierney,Liverpool,Forward,Brazilian,Left,24,1,2,Expiring,Injured,On Loan,Yes,Not On Transfer List,Average,UEFA Champions League,37,172,78,2,10,76,20344,57.58,50,84,96,72,72,81,55
Cesar Azpilicueta,Liverpool,Midfielder,German,Right,70,12,0,Expiring,Suspended,On Loan,Yes,On Transfer List,Average,FA Cup,36,171,80,11,11,6,21690,82.23,56,68,9,93,50,8,89
Paul Pogba,Liverpool,Forward,French,Left,38,11,0,Expiring,Suspended,EPL,Yes,Not On Transfer List,Good,EPL,35,189,78,38,15,243,8733,88.31,84,61,38,60,148,48,31
Riyad Mahrez,Tottenham Hotspur,Defender,English,Left,80,12,0,On Loan,Injured,EPL,Yes,Not On Transfer List,Average,EPL,22,195,85,23,16,62,8757,81.1,53,24,84,25,138,17,102
Giovani Lo Celso,Tottenham Hotspur,Forward,Argentinian,Left,48,11,2,Active,Suspended,EPL,Yes,Not On Transfer List,Average,FA Cup,19,195,63,7,1,177,14251,58.04,21,83,33,93,56,29,111
Harvey Barnes,Manchester City,Defender,French,Right,71,5,2,Expiring,Injured,EPL,No,Not On Transfer List,Average,UEFA Champions League,28,163,95,46,14,227,4838,63.92,1,9,63,23,129,60,58
Luke Shaw,Chelsea,Forward,Brazilian,Left,98,10,0,Expiring,Fit,On Loan,Yes,On Transfer List,Excellent,UEFA Champions League,26,183,97,43,18,121,8797,51.37,22,32,52,46,140,89,119
Phil Foden,Tottenham Hotspur,Goalkeeper,Brazilian,Right,87,1,0,Expiring,Suspended,On Loan,No,Not On Transfer List,Average,EPL,24,169,74,33,0,107,6004,73.82,86,18,7,88,55,33,82
David de Gea,Manchester City,Midfielder,English,Both,36,9,2,Expiring,Injured,EPL,Yes,On Transfer List,Excellent,UEFA Champions League,29,177,96,14,2,246,24939,83.25,89,27,21,32,110,25,102
Mason Mount,Leicester City,Forward,Argentinian,Right,5,14,3,On Loan,Injured,EPL,No,On Transfer List,Excellent,FA Cup,37,179,92,11,0,289,26791,89.65,77,45,33,19,12,78,26
Romelu Lukaku,Leicester City,Goalkeeper,Spanish,Right,94,4,2,On Loan,Suspended,EPL,No,On Transfer List,Average,EPL,39,194,60,27,13,188,1571,55.08,93,95,37,27,88,7,148
Ben White,Tottenham Hotspur,Forward,English,Both,37,4,4,On Loan,Injured,EPL,No,Not On Transfer List,Excellent,EPL,28,160,79,32,3,77,23112,63.35,7,53,98,61,69,46,62
Bukayo Saka,Arsenal,Goalkeeper,Argentinian,Both,99,12,1,On Loan,Injured,On Loan,Yes,Not On Transfer List,Poor,EPL,29,185,66,40,10,91,25168,66.93,23,62,24,26,8,0,123
N'Golo Kante,Manchester City,Defender,Portuguese,Left,76,12,2,Active,Suspended,EPL,No,Not On Transfer List,Good,FA Cup,38,190,64,21,18,275,6462,87.18,95,12,15,72,67,67,93
Roberto Firmino,Liverpool,Midfielder,English,Left,23,11,0,On Loan,Fit,EPL,Yes,On Transfer List,Excellent,FA Cup,27,181,70,46,16,67,18307,75.54,94,22,94,59,10,33,102
Jordan Henderson,Leicester City,Forward,Portuguese,Both,75,14,4,Active,Fit,EPL,Yes,Not On Transfer List,Poor,EPL,26,162,71,11,11,170,23062,95.28,62,65,19,28,25,32,149
Kevin De Bruyne,Arsenal,Midfielder,Brazilian,Right,92,14,1,On Loan,Injured,On Loan,Yes,On Transfer List,Poor,FA Cup,22,186,94,34,19,188,26713,89.45,13,39,70,34,95,37,130
Kevin De Bruyne,Leicester City,Defender,English,Both,48,13,1,On Loan,Suspended,EPL,No,Not On Transfer List,Good,FA Cup,27,174,68,8,16,278,23031,90.68,9,85,86,0,81,60,46
Caglar Soyuncu,Manchester United,Forward,French,Left,58,8,3,Active,Suspended,EPL,Yes,On Transfer List,Excellent,FA Cup,27,192,73,1,19,41,23207,96.4,19,65,63,61,104,78,21
Eric Dier,Tottenham Hotspur,Defender,Argentinian,Left,27,3,3,On Loan,Fit,On Loan,Yes,On Transfer List,Average,FA Cup,39,190,73,48,1,15,20814,83.86,34,65,9,16,5,67,13
Pierre-Emerick Aubameyang,Manchester City,Forward,Brazilian,Both,84,8,4,On Loan,Fit,EPL,Yes,Not On Transfer List,Poor,UEFA Champions League,29,180,79,31,9,167,797,53.42,62,51,12,1,106,85,30
Heung-Min Son,Liverpool,Goalkeeper,Brazilian,Both,99,4,3,Expiring,Fit,EPL,No,Not On Transfer List,Excellent,EPL,27,165,70,9,19,166,16055,71.32,57,51,18,28,12,18,104
Paul Pogba,Manchester United,Forward,Brazilian,Right,72,0,4,Active,Injured,EPL,No,On Transfer List,Poor,UEFA Champions League,36,168,95,40,13,202,16162,67.4,38,43,90,29,1,76,106
Mason Mount,Chelsea,Defender,Brazilian,Both,82,9,2,Expiring,Injured,On Loan,No,Not On Transfer List,Good,UEFA Champions League,24,173,80,29,0,117,4669,82.81,65,94,66,59,26,30,9
Kai Havertz,Arsenal,Forward,German,Left,68,5,1,Active,Injured,EPL,No,Not On Transfer List,Poor,EPL,36,193,76,6,1,256,11162,83.96,12,82,21,35,12,25,83
Jamie Vardy,Manchester United,Goalkeeper,French,Left,37,8,0,Expiring,Fit,EPL,Yes,Not On Transfer List,Excellent,FA Cup,33,188,96,45,3,81,2121,73.44,26,33,13,31,61,0,42
Phil Foden,Leicester City,Forward,Brazilian,Left,45,14,2,Active,Injured,On Loan,Yes,On Transfer List,Average,FA Cup,20,198,60,42,7,218,9363,70.9,97,33,67,29,58,74,10
Ben White,Liverpool,Defender,Portuguese,Both,95,1,4,Expiring,Fit,On Loan,No,On Transfer List,Excellent,UEFA Champions League,36,185,85,16,0,136,7295,74.76,45,1,12,47,129,14,87
Harry Kane,Chelsea,Goalkeeper,Portuguese,Both,90,9,0,Active,Suspended,EPL,No,On Transfer List,Excellent,FA Cup,19,199,60,7,11,241,4888,69.33,2,20,27,91,65,0,130
Wilfred Ndidi,Tottenham Hotspur,Forward,Brazilian,Right,17,1,4,Expiring,Injured,EPL,Yes,Not On Transfer List,Average,FA Cup,28,182,76,44,17,225,4865,60.97,75,95,8,34,79,10,148
Youri Tielemans,Arsenal,Defender,English,Left,90,10,1,Active,Injured,On Loan,Yes,On Transfer List,Average,FA Cup,21,183,62,41,13,209,26176,77.78,27,16,53,95,134,86,119
Kasper Schmeichel,Manchester United,Forward,English,Right,1,13,0,On Loan,Suspended,On Loan,Yes,Not On Transfer List,Good,UEFA Champions League,37,164,60,18,4,246,2007,60.69,0,78,54,76,124,82,9
Heung-Min Son,Arsenal,Forward,Brazilian,Left,90,0,0,Expiring,Injured,EPL,No,On Transfer List,Excellent,UEFA Champions League,29,186,62,2,13,2,17117,57.93,40,55,22,91,107,38,93
Romelu Lukaku,Manchester United,Forward,French,Both,78,13,2,Expiring,Fit,EPL,No,Not On Transfer List,Average,UEFA Champions League,29,186,73,29,8,106,3004,65.71,0,3,6,36,87,48,132
Mason Mount,Liverpool,Forward,English,Both,86,3,2,Expiring,Fit,On Loan,No,Not On Transfer List,Poor,FA Cup,37,197,77,30,2,196,15559,85.28,39,95,14,84,93,51,11
Jordan Henderson,Arsenal,Goalkeeper,Brazilian,Both,13,11,3,Expiring,Suspended,EPL,No,Not On Transfer List,Average,UEFA Champions League,38,179,80,41,12,0,13690,56.37,44,78,21,79,28,36,34
Jamie Vardy,Manchester United,Forward,Portuguese,Both,3,7,4,On Loan,Fit,EPL,Yes,Not On Transfer List,Poor,FA Cup,20,161,90,49,6,57,23093,57.07,76,7,29,8,8,19,16
Harry Kane,Manchester City,Forward,German,Both,50,1,3,Active,Injured,On Loan,No,On Transfer List,Good,UEFA Champions League,20,162,93,32,17,51,7855,55.5,83,86,10,51,49,30,34
Phil Foden,Manchester City,Forward,German,Right,60,11,4,On Loan,Suspended,EPL,Yes,On Transfer List,Average,FA Cup,34,184,86,37,6,18,15406,84.65,7,35,43,35,68,65,69
Harry Maguire,Manchester City,Forward,Portuguese,Both,50,1,4,Expiring,Injured,On Loan,No,Not On Transfer List,Average,EPL,31,172,84,41,9,43,23451,84.39,91,32,39,34,68,79,90
N'Golo Kante,Arsenal,Forward,Spanish,Right,4,9,3,Active,Fit,On Loan,No,On Transfer List,Poor,FA Cup,33,183,68,12,15,75,24023,50.95,40,99,19,93,121,58,46
Bukayo Saka,Chelsea,Forward,Portuguese,Both,73,1,0,Expiring,Injured,On Loan,Yes,On Transfer List,Excellent,FA Cup,32,197,92,13,9,244,24939,80.96,89,35,26,36,109,78,103
Giovani Lo Celso,Arsenal,Defender,German,Both,25,8,2,Active,Injured,EPL,No,Not On Transfer List,Excellent,UEFA Champions League,25,175,89,43,5,193,20232,77.85,68,69,8,9,135,57,92
Riyad Mahrez,Tottenham Hotspur,Goalkeeper,Argentinian,Right,31,11,2,On Loan,Injured,EPL,Yes,Not On Transfer List,Excellent,FA Cup,28,187,64,3,1,76,9607,71.48,50,26,2,53,21,51,34
Giovani Lo Celso,Tottenham Hotspur,Forward,French,Both,53,5,1,Active,Suspended,On Loan,No,Not On Transfer List,Poor,UEFA Champions League,39,176,93,22,11,273,24087,98.59,24,18,94,33,121,77,12
Bukayo Saka,Tottenham Hotspur,Forward,French,Right,25,1,4,On Loan,Injured,EPL,No,On Transfer List,Average,EPL,23,170,86,20,14,1,4529,69.43,73,31,21,24,138,95,105
Virgil van Dijk,Leicester City,Forward,Argentinian,Right,47,0,3,Expiring,Fit,On Loan,No,On Transfer List,Average,EPL,20,197,73,8,5,48,9513,87.95,55,37,91,23,9,81,99
Diogo Jota,Manchester United,Defender,English,Both,60,8,4,Expiring,Injured,On Loan,Yes,On Transfer List,Excellent,FA Cup,27,176,70,38,10,245,7497,86.53,78,91,42,42,4,52,63
Kai Havertz,Liverpool,Midfielder,Brazilian,Right,18,8,2,Active,Injured,EPL,No,Not On Transfer List,Average,FA Cup,39,190,92,10,9,174,25980,98.49,59,96,84,72,1,28,8
Wilfred Ndidi,Manchester United,Midfielder,French,Right,33,10,1,Active,Suspended,On Loan,Yes,On Transfer List,Average,FA Cup,23,193,81,27,5,38,911,80.04,97,11,45,45,58,53,85
Mohamed Salah,Manchester United,Midfielder,Portuguese,Right,43,14,0,Active,Injured,On Loan,Yes,Not On Transfer List,Good,EPL,33,160,95,15,4,101,8871,88.47,23,60,72,63,35,44,102
Bruno Fernandes,Manchester City,Forward,Argentinian,Both,53,9,2,Expiring,Injured,On Loan,Yes,On Transfer List,Good,FA Cup,20,184,81,12,16,54,1333,67.19,72,21,61,72,102,21,89
Youri Tielemans,Manchester City,Forward,Brazilian,Both,33,2,4,Active,Injured,On Loan,No,On Transfer List,Excellent,EPL,24,189,94,19,9,215,25402,74.04,77,1,18,22,7,2,52
Marcus Rashford,Tottenham Hotspur,Defender,Argentinian,Both,49,12,3,Expiring,Suspended,On Loan,Yes,Not On Transfer List,Poor,FA Cup,38,184,85,24,2,16,20209,65.99,97,48,84,20,13,33,13
Ederson,Liverpool,Defender,German,Right,20,10,2,Active,Suspended,EPL,No,Not On Transfer List,Average,EPL,18,181,77,22,15,257,7558,74.49,6,3,45,41,147,4,16
Diogo Jota,Tottenham Hotspur,Goalkeeper,Argentinian,Both,68,14,3,On Loan,Injured,EPL,Yes,On Transfer List,Good,FA Cup,30,171,60,29,0,155,6579,67,36,31,31,81,3,68,25
Emile Smith Rowe,Manchester United,Forward,Brazilian,Right,23,7,0,Active,Injured,On Loan,Yes,Not On Transfer List,Good,EPL,22,183,94,31,6,83,9499,96.39,2,85,96,9,139,6,76
Kevin De Bruyne,Manchester United,Goalkeeper,French,Left,9,7,0,On Loan,Fit,On Loan,No,On Transfer List,Average,FA Cup,19,168,79,49,14,247,24192,51.28,83,69,75,67,64,38,114
Phil Foden,Manchester City,Midfielder,German,Both,95,12,4,Active,Suspended,EPL,No,Not On Transfer List,Excellent,UEFA Champions League,28,166,74,11,6,4,1545,84.95,14,66,93,85,36,38,8
Roberto Firmino,Manchester City,Forward,Portuguese,Left,58,5,0,Expiring,Fit,EPL,No,On Transfer List,Poor,FA Cup,30,163,82,49,19,198,21616,59.09,37,42,0,10,69,82,7
Paul Pogba,Tottenham Hotspur,Goalkeeper,Portuguese,Right,99,2,4,Active,Injured,On Loan,Yes,Not On Transfer List,Excellent,EPL,23,193,83,12,12,157,18905,72.19,69,79,84,48,42,66,130
Cesar Azpilicueta,Chelsea,Defender,Argentinian,Right,51,11,4,Expiring,Fit,On Loan,No,On Transfer List,Good,UEFA Champions League,33,182,68,17,4,186,26738,89.29,50,11,58,2,64,49,49
Kieran Tierney,Tottenham Hotspur,Midfielder,French,Left,14,2,2,On Loan,Suspended,EPL,No,On Transfer List,Poor,UEFA Champions League,22,189,92,24,3,122,5279,88.19,60,3,79,29,148,99,50
Phil Foden,Liverpool,Defender,English,Right,49,13,1,Active,Fit,On Loan,No,Not On Transfer List,Good,UEFA Champions League,26,190,81,44,9,262,11722,80.34,96,24,26,3,70,12,109
Pierre-Emerick Aubameyang,Arsenal,Midfielder,English,Both,58,6,0,Active,Injured,EPL,Yes,On Transfer List,Poor,EPL,18,194,88,31,7,233,15051,58.02,64,74,52,4,117,6,2
N'Golo Kante,Arsenal,Goalkeeper,English,Both,67,12,0,On Loan,Suspended,On Loan,Yes,Not On Transfer List,Average,UEFA Champions League,29,175,64,19,8,82,2762,80.73,39,30,66,20,41,73,110
Sadio Mane,Arsenal,Midfielder,Spanish,Both,42,6,1,On Loan,Fit,On Loan,No,Not On Transfer List,Average,EPL,33,160,65,4,18,15,20338,71.27,68,3,14,26,4,43,71
Mason Greenwood,Manchester United,Goalkeeper,English,Right,76,12,2,Expiring,Suspended,On Loan,No,On Transfer List,Excellent,EPL,29,170,76,35,16,273,20047,98.37,30,65,56,7,149,10,82
Raheem Sterling,Tottenham Hotspur,Midfielder,Portuguese,Both,30,12,4,Active,Fit,On Loan,No,Not On Transfer List,Average,UEFA Champions League,28,194,76,45,16,45,7272,51.92,94,22,17,89,17,48,104
Timo Werner,Manchester United,Midfielder,German,Left,42,12,2,Active,Injured,EPL,Yes,Not On Transfer List,Good,UEFA Champions League,22,160,84,33,13,136,2196,67.98,65,47,73,4,111,3,102
Phil Foden,Manchester City,Midfielder,Spanish,Left,63,5,4,On Loan,Fit,EPL,Yes,Not On Transfer List,Average,EPL,37,193,73,48,6,119,4761,91.66,36,19,71,80,22,88,105
Eric Dier,Manchester United,Defender,German,Right,8,8,4,Expiring,Fit,On Loan,Yes,Not On Transfer List,Poor,UEFA Champions League,20,198,75,25,9,7,15601,62.06,85,41,6,85,2,60,145
Jamie Vardy,Liverpool,Goalkeeper,Spanish,Both,13,2,2,Active,Suspended,On Loan,Yes,On Transfer List,Average,FA Cup,31,174,78,38,14,71,13687,72.73,1,19,35,32,19,97,62
Harry Maguire,Liverpool,Forward,Portuguese,Both,26,9,4,Active,Suspended,EPL,No,On Transfer List,Poor,EPL,22,197,66,40,4,31,12977,60.8,17,29,73,45,57,86,57
Kevin De Bruyne,Arsenal,Forward,French,Left,70,3,1,On Loan,Fit,On Loan,No,Not On Transfer List,Poor,EPL,34,168,61,34,9,129,7335,80.36,12,65,90,18,43,66,120
James Maddison,Leicester City,Midfielder,English,Left,62,5,0,On Loan,Suspended,EPL,No,Not On Transfer List,Excellent,UEFA Champions League,32,192,99,21,19,277,9493,79.95,58,29,96,45,49,40,55
Ben White,Chelsea,Forward,English,Both,76,5,4,On Loan,Injured,On Loan,No,Not On Transfer List,Excellent,EPL,38,166,80,17,12,235,3512,59.36,22,4,76,39,103,70,30
Kasper Schmeichel,Manchester City,Defender,German,Right,84,5,2,Expiring,Fit,EPL,No,On Transfer List,Good,EPL,30,167,78,21,5,119,7693,51.19,33,28,33,18,112,53,22
Raheem Sterling,Arsenal,Forward,English,Right,24,6,3,Expiring,Injured,EPL,Yes,On Transfer List,Excellent,EPL,34,197,67,45,18,108,12662,96.96,40,20,23,35,43,5,22
Kai Havertz,Arsenal,Goalkeeper,Argentinian,Right,7,9,4,Active,Injured,On Loan,Yes,Not On Transfer List,Average,EPL,23,196,83,13,4,246,23599,82.52,80,75,64,87,39,48,75
Ruben Dias,Manchester City,Defender,Argentinian,Left,99,13,2,Expiring,Suspended,EPL,No,On Transfer List,Excellent,EPL,24,198,71,8,3,178,10532,82.87,44,92,21,35,145,8,31
Eric Dier,Leicester City,Forward,French,Both,92,10,4,Expiring,Suspended,On Loan,Yes,Not On Transfer List,Average,EPL,19,162,85,19,5,270,1499,95.56,69,36,46,38,139,54,11
Ben White,Manchester United,Midfielder,Portuguese,Left,10,7,2,Active,Suspended,On Loan,No,Not On Transfer List,Average,UEFA Champions League,33,189,77,24,2,151,16445,62.76,41,19,17,65,125,30,127
Thiago Silva,Manchester City,Midfielder,English,Left,7,0,0,Expiring,Injured,EPL,Yes,On Transfer List,Poor,EPL,24,180,93,44,3,103,835,91.61,15,21,34,69,136,3,96
Kai Havertz,Arsenal,Midfielder,Brazilian,Right,66,3,0,Active,Injured,EPL,No,On Transfer List,Good,UEFA Champions League,38,184,81,48,13,41,25058,72.01,62,15,59,9,42,3,84
Jamie Vardy,Manchester City,Midfielder,Portuguese,Both,83,7,0,Active,Suspended,EPL,No,Not On Transfer List,Good,EPL,27,162,60,35,1,78,24140,74.19,89,42,99,16,73,82,57
Ruben Dias,Chelsea,Goalkeeper,Argentinian,Right,19,2,2,Expiring,Suspended,On Loan,No,Not On Transfer List,Poor,UEFA Champions League,37,183,77,19,16,288,2551,97.8,78,38,85,71,7,52,131
Riyad Mahrez,Manchester United,Forward,English,Right,60,6,3,Active,Suspended,EPL,No,On Transfer List,Excellent,FA Cup,28,184,72,41,11,184,11860,97.56,15,69,6,93,16,33,24
Bruno Fernandes,Arsenal,Goalkeeper,Argentinian,Left,34,5,3,On Loan,Injured,EPL,No,Not On Transfer List,Poor,EPL,38,198,94,2,2,78,25422,65.2,12,94,22,70,89,18,136
Jordan Henderson,Tottenham Hotspur,Goalkeeper,Brazilian,Left,70,7,0,On Loan,Fit,EPL,No,On Transfer List,Good,EPL,29,193,67,15,15,66,1390,65.24,97,81,94,53,74,98,14
Hugo Lloris,Chelsea,Defender,Spanish,Left,28,4,0,On Loan,Injured,On Loan,No,On Transfer List,Poor,FA Cup,31,183,93,24,4,200,9614,64.26,27,34,80,22,12,75,138
Phil Foden,Arsenal,Goalkeeper,French,Left,30,12,2,Active,Fit,On Loan,Yes,On Transfer List,Excellent,EPL,33,198,97,47,1,298,10682,71.74,50,60,50,79,4,36,88
Giovani Lo Celso,Tottenham Hotspur,Forward,Portuguese,Right,19,3,1,Expiring,Fit,EPL,Yes,Not On Transfer List,Poor,EPL,37,168,88,22,7,151,10227,79.11,48,48,54,55,10,6,59
Wilfred Ndidi,Liverpool,Goalkeeper,Portuguese,Left,67,14,1,On Loan,Injured,On Loan,No,On Transfer List,Good,UEFA Champions League,25,181,90,18,1,80,20513,85.03,15,51,27,43,106,96,80
Luke Shaw,Chelsea,Goalkeeper,French,Right,51,0,0,Expiring,Suspended,EPL,Yes,Not On Transfer List,Average,UEFA Champions League,31,163,94,21,12,7,2690,50.27,51,14,73,16,106,51,141
Paul Pogba,Arsenal,Forward,Portuguese,Right,9,9,3,On Loan,Suspended,On Loan,Yes,On Transfer List,Good,UEFA Champions League,27,160,76,42,4,120,10342,83.27,95,68,19,54,67,11,129
Hugo Lloris,Manchester United,Goalkeeper,French,Both,81,8,0,Active,Suspended,On Loan,Yes,On Transfer List,Average,EPL,26,161,78,30,7,262,24410,65.36,90,61,12,48,146,70,16
James Maddison,Arsenal,Goalkeeper,English,Right,24,3,1,Expiring,Fit,EPL,Yes,Not On Transfer List,Poor,FA Cup,22,183,90,45,7,216,4113,51.27,50,49,63,83,31,28,103
Marcus Rashford,Arsenal,Goalkeeper,Portuguese,Left,98,3,3,On Loan,Injured,On Loan,Yes,On Transfer List,Average,EPL,37,183,87,23,8,73,24995,56.68,43,82,99,34,52,54,147
Bruno Fernandes,Tottenham Hotspur,Defender,Spanish,Right,23,0,4,Active,Fit,On Loan,Yes,On Transfer List,Good,FA Cup,37,193,86,8,18,42,11632,99.12,53,52,82,80,130,86,112
Mohamed Salah,Arsenal,Forward,Brazilian,Right,95,14,0,Expiring,Suspended,On Loan,Yes,On Transfer List,Excellent,UEFA Champions League,19,161,76,36,0,256,12506,75.57,94,27,9,93,100,17,88
Lucas Moura,Arsenal,Goalkeeper,Spanish,Both,98,13,2,Active,Suspended,On Loan,Yes,On Transfer List,Poor,UEFA Champions League,22,168,79,24,2,260,20645,59.42,16,45,0,89,58,39,134
Wilfred Ndidi,Chelsea,Forward,Spanish,Left,24,3,3,On Loan,Suspended,On Loan,Yes,On Transfer List,Poor,EPL,19,193,80,19,15,36,16378,53.18,55,45,87,58,60,52,101
Caglar Soyuncu,Leicester City,Defender,Portuguese,Right,95,5,1,Expiring,Suspended,EPL,Yes,On Transfer List,Excellent,FA Cup,23,178,88,25,9,5,10767,77.79,21,27,20,35,113,16,74
Lucas Moura,Chelsea,Forward,German,Both,92,5,3,Active,Injured,On Loan,Yes,Not On Transfer List,Poor,UEFA Champions League,26,178,88,2,0,20,8636,98.81,97,92,59,59,49,41,142
Kieran Tierney,Chelsea,Defender,French,Both,11,0,3,Active,Suspended,On Loan,Yes,Not On Transfer List,Poor,UEFA Champions League,38,161,86,28,8,10,17839,58.22,22,75,71,39,83,22,109
Paul Pogba,Tottenham Hotspur,Midfielder,German,Right,72,9,1,Expiring,Fit,On Loan,Yes,Not On Transfer List,Poor,EPL,25,181,98,24,13,45,18632,87.94,15,35,94,23,131,52,119
Kieran Tierney,Liverpool,Goalkeeper,Spanish,Right,77,9,1,Expiring,Suspended,EPL,No,Not On Transfer List,Excellent,EPL,26,192,76,1,6,264,12550,85.15,37,1,64,81,71,52,148
Hugo Lloris,Chelsea,Defender,Portuguese,Both,97,1,1,Active,Fit,EPL,Yes,On Transfer List,Poor,FA Cup,19,182,66,26,9,113,5386,90.08,35,63,38,9,40,56,131
Eric Dier,Leicester City,Goalkeeper,Portuguese,Both,19,10,4,On Loan,Fit,EPL,No,On Transfer List,Excellent,EPL,19,196,76,19,5,260,11314,73.81,79,74,97,46,70,34,111
Timo Werner,Chelsea,Defender,Argentinian,Right,52,13,3,Expiring,Suspended,EPL,No,Not On Transfer List,Poor,EPL,21,193,70,1,9,20,11460,96.81,89,97,34,58,94,41,43
David de Gea,Leicester City,Midfielder,Brazilian,Both,67,11,1,Expiring,Suspended,EPL,Yes,Not On Transfer List,Average,UEFA Champions League,35,180,92,22,12,194,11087,84.91,77,71,68,86,133,93,63
Mason Mount,Liverpool,Defender,German,Both,23,10,3,Expiring,Fit,On Loan,Yes,Not On Transfer List,Excellent,FA Cup,31,189,71,44,18,57,6188,69.8,95,54,80,75,35,35,121
